ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,25,5,1510,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r5_20260915-190131.log
3,dramblast,26,1,1542,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r1_20260915-190131.log
3,dramblast,26,2,1544,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r2_20260915-190131.log
3,dramblast,26,3,1551,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r3_20260915-190131.log
3,dramblast,26,4,1545,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r4_20260915-190131.log
3,dramblast,26,5,1547,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r5_20260915-190131.log
3,dramblast,27,1,1513,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r1_20260915-190131.log
3,dramblast,27,2,1548,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r2_20260915-190131.log
3,dramblast,27,3,1510,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r3_20260915-190131.log
3,dramblast,27,4,1544,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r4_20260915-190131.log
3,dramblast,27,5,1507,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r5_20260915-190131.log
3,dramblast,28,1,1546,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r1_20260915-190131.log
3,dramblast,28,2,1508,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r2_20260915-190131.log
3,dramblast,28,3,1543,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r3_20260915-190131.log
3,dramblast,28,4,1512,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r4_20260915-190131.log
3,dramblast,28,5,1548,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r5_20260915-190131.log
3,dramblast,29,1,1551,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r1_20260915-190131.log
3,dramblast,29,2,1542,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r2_20260915-190131.log
3,dramblast,29,3,1552,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r3_20260915-190131.log
3,dramblast,29,4,1545,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r4_20260915-190131.log
3,dramblast,29,5,1558,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r5_20260915-190131.log
3,dramblast,30,1,1538,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r1_20260915-190131.log
